iter	RMSE
0	12.61008297
1	10.86490449
2	9.738632569
3	8.685319323
4	7.81034309
5	7.293823851
6	6.834517021
7	6.465231964
8	6.277059444
9	6.082309304
10	5.961670173
11	5.819241943
12	5.735855417
13	5.658437261
14	5.598864087
15	5.557179181
16	5.498280542
17	5.466926619
18	5.440359641
19	5.412486265
20	5.384031962
21	5.350418175
22	5.322231934
23	5.299438238
24	5.286401928
25	5.274693831
26	5.239614168
27	5.230084831
28	5.211533974
29	5.203882385
30	5.192486368
31	5.178419065
32	5.164542062
33	5.160795953
34	5.142697112
35	5.132772692
36	5.110819571
37	5.103448943
38	5.091892738
39	5.070300999
40	5.054053052
41	5.032687965
42	5.022040291
43	5.004180313
44	4.990976859
45	4.984201549
46	4.978756824
47	4.968852882
48	4.961686219
49	4.944702065
50	4.928871471
51	4.912764006
52	4.904683817
53	4.889506355
54	4.875975697
55	4.859734155
56	4.839170872
57	4.827293859
58	4.821233635
59	4.818278041
60	4.810451516
61	4.794531431
62	4.786973302
63	4.764081688
64	4.761117193
65	4.74906444
66	4.737392977
67	4.737108721
68	4.726730756
69	4.717071956
70	4.713776301
71	4.711228648
72	4.706550855
73	4.70345537
74	4.688057408
75	4.681361643
76	4.668407543
77	4.651844707
78	4.642804847
79	4.63816024
80	4.629303886
81	4.61840052
82	4.612145207
83	4.603996085
84	4.599444407
85	4.598307753
86	4.580654213
87	4.56965104
88	4.567169036
89	4.563129432
90	4.544179626
91	4.542479076
92	4.522689538
93	4.517421875
94	4.513401025
95	4.499335498
96	4.489377111
97	4.459611323
98	4.457788529
99	4.449903819
