iter	Passed	Remaining
0	136	136061
1	138	69307
2	141	47068
3	144	35942
4	147	29282
5	149	24833
6	152	21644
7	155	19265
8	158	17430
9	161	15946
10	163	14727
11	166	13715
12	169	12856
13	171	12066
14	173	11380
15	175	10776
16	176	10222
17	178	9728
18	179	9286
19	181	8889
20	182	8518
21	183	8179
22	185	7873
23	186	7590
24	187	7326
25	188	7078
26	190	6848
27	191	6635
28	192	6436
29	193	6250
30	194	6073
31	195	5906
32	196	5753
33	197	5606
34	198	5466
35	199	5334
36	200	5208
37	200	5086
38	201	4970
39	202	4861
40	203	4758
41	204	4662
42	205	4571
43	206	4478
44	206	4391
45	207	4306
46	213	4332
47	214	4258
48	215	4187
49	216	4116
50	217	4047
51	218	3980
52	219	3920
53	220	3857
54	220	3796
55	221	3737
56	222	3683
57	223	3629
58	224	3577
59	225	3525
60	225	3475
61	229	3470
62	230	3427
63	231	3387
64	232	3344
65	233	3301
66	234	3258
67	234	3213
68	235	3172
69	235	3134
70	236	3097
71	237	3060
72	238	3024
73	238	2989
74	239	2954
75	240	2921
76	241	2889
77	241	2858
78	242	2827
79	243	2797
80	243	2768
81	244	2739
82	245	2712
83	246	2685
84	246	2656
85	247	2634
86	248	2606
87	249	2582
88	249	2557
89	250	2534
90	251	2510
91	252	2487
92	252	2464
93	253	2443
94	254	2421
95	254	2400
96	255	2379
97	256	2359
98	257	2340
99	257	2320
100	258	2300
101	258	2278
102	259	2259
103	260	2241
104	260	2223
105	261	2205
106	262	2187
107	262	2170
108	263	2154
109	264	2139
110	265	2123
111	265	2108
112	266	2092
113	267	2077
114	268	2063
115	268	2047
116	269	2033
117	270	2019
118	270	2004
119	271	1990
120	272	1976
121	272	1963
122	273	1947
123	273	1934
124	274	1922
125	275	1909
126	275	1897
127	276	1883
128	277	1871
129	277	1859
130	278	1847
131	279	1836
132	280	1825
133	280	1814
134	281	1803
135	282	1792
136	282	1781
137	283	1770
138	284	1760
139	284	1750
140	285	1740
141	286	1730
142	287	1720
143	287	1711
144	288	1701
145	289	1692
146	290	1683
147	290	1673
148	291	1665
149	292	1656
150	292	1647
151	293	1638
152	294	1630
153	295	1621
154	295	1613
155	296	1605
156	297	1596
157	298	1588
158	298	1580
159	299	1572
160	300	1564
161	301	1557
162	301	1549
163	302	1541
164	303	1534
165	303	1527
166	304	1519
167	305	1512
168	306	1504
169	306	1497
170	307	1491
171	308	1484
172	309	1477
173	309	1470
174	310	1463
175	311	1457
176	311	1450
177	312	1444
178	313	1437
179	314	1431
180	314	1423
181	315	1416
182	315	1410
183	316	1404
184	317	1398
185	318	1392
